"","shrinkage","interaction.depth","n.minobsinnode","n.trees","Accuracy","Kappa","AccuracySD","KappaSD"
"1",0.1,1,10,50,0.711783849784188,0.63470171615597,0.0127975525965937,0.0161648494589166
"4",0.1,2,10,50,0.824301062038475,0.777461620823648,0.010609673490192,0.0134392297375006
"7",0.1,3,10,50,0.868118972401883,0.832984643494964,0.0111527393485444,0.0140998417143125
"2",0.1,1,10,100,0.778870717360769,0.72012080521862,0.00806007845254264,0.0102758395830488
"5",0.1,2,10,100,0.877800466059022,0.845352936253232,0.00903890788685153,0.0114785334391359
"8",0.1,3,10,100,0.919835188982256,0.89853416349263,0.0081186179020099,0.0102847972748474
"3",0.1,1,10,150,0.812753222206237,0.763071696946384,0.00626080095856098,0.00793445027193116
"6",0.1,2,10,150,0.906248988678909,0.881373735719865,0.0088653066800824,0.0112009792657538
"9",0.1,3,10,150,0.943867683340074,0.928969303464318,0.00596816659756157,0.00755275918649811
