"","alpha","lambda","Accuracy","Kappa","AccuracySD","KappaSD"
"1",0.1,0.000364801091676026,0.595191575678739,0.486270638566726,0.00978836675534573,0.0125223940160769
"2",0.1,0.00364801091676026,0.592813475819098,0.483084572690234,0.0107992654456934,0.0136951733213853
"3",0.1,0.0364801091676026,0.563855074364431,0.443460196115809,0.0131915868222323,0.0166269712282926
"4",0.55,0.000364801091676026,0.595531134191341,0.48666675554854,0.0099135443521461,0.0126797548571725
"5",0.55,0.00364801091676026,0.59323763554145,0.48339439203245,0.010648600555403,0.013435676622472
"6",0.55,0.0364801091676026,0.525641574780331,0.389650675799957,0.0151530346339445,0.0190659594990397
"7",1,0.000364801091676026,0.595700949586078,0.486897892315512,0.00958549780636831,0.0122750594864766
"8",1,0.00364801091676026,0.59153904943353,0.481021600098337,0.0113121473714994,0.0143026618009733
"9",1,0.0364801091676026,0.495835972243024,0.346954504150409,0.0120163746111907,0.0145732325649286
