"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",2,0.855553430227644,0.817356920606707,0.0091847493952394,0.0115860844028133
"2",3,0.849438563378621,0.809590294565544,0.00626017814181843,0.00785309972255341
"3",4,0.832030021465955,0.787654435010894,0.00888032545174491,0.0111896460837904
"4",5,0.822604386551243,0.775747478217079,0.00618805639609678,0.007797025890089
"5",7,0.795515684795951,0.74158576740838,0.0119053032988013,0.0150839310261521
"6",9,0.777002820142411,0.718178016967085,0.00849709100227394,0.0106663309357429
"7",10,0.767491574377449,0.706070370618381,0.0102490519814803,0.0128901624984792
"8",15,0.734033301439327,0.663839668741924,0.00747972643009568,0.00941094839582837
"9",20,0.703462538161613,0.625020996592234,0.00912165180888696,0.0115167295284382
